iter	RMSE
0	23989.2784
1	23507.11806
2	23075.84937
3	22646.67111
4	22314.8864
5	21990.09739
6	21709.70612
7	21470.97365
8	21252.65266
9	21056.58644
10	20887.04488
11	20725.33883
12	20577.23556
13	20447.92326
14	20345.55389
15	20238.33548
16	20128.08794
17	20036.72371
18	19955.85673
19	19879.30255
20	19816.27583
21	19741.57788
22	19692.92876
23	19637.43483
24	19584.41101
25	19538.27654
26	19487.26985
27	19438.4038
28	19394.18929
29	19352.50364
30	19308.62168
31	19275.71598
32	19242.80683
33	19206.04312
34	19169.40737
35	19138.75157
36	19105.77945
37	19076.79628
38	19054.08679
39	19032.01708
40	19002.72455
41	18977.43075
42	18953.23693
43	18932.60478
44	18910.49066
45	18883.78359
46	18859.13338
47	18843.04753
48	18825.27807
49	18805.7481
50	18786.89909
51	18761.37614
52	18743.51261
53	18726.00736
54	18709.93678
55	18696.92053
56	18680.82458
57	18668.55218
58	18644.23424
59	18628.57433
60	18616.77209
61	18600.42828
62	18586.42841
63	18575.0145
64	18566.69365
65	18554.57865
66	18538.58507
67	18524.1741
68	18513.16643
69	18501.55933
70	18488.18048
71	18472.51231
72	18461.78813
73	18449.42614
74	18433.27986
75	18425.18911
76	18411.48079
77	18400.39509
78	18389.19219
79	18379.78253
80	18367.26878
81	18359.41571
82	18349.70584
83	18339.39702
84	18330.81794
85	18320.2825
86	18309.94412
87	18299.35359
88	18291.03254
89	18281.54278
90	18266.05156
91	18258.45226
92	18249.0576
93	18239.81013
94	18230.40503
95	18224.16476
96	18215.37023
97	18203.69446
98	18194.90609
99	18186.85215
100	18180.11349
101	18166.68084
102	18155.48394
103	18145.56451
104	18134.55762
105	18121.31699
106	18114.43413
107	18105.41221
108	18094.6987
109	18086.35539
110	18073.38443
111	18064.52846
112	18054.41481
113	18046.21657
114	18038.54016
115	18030.74293
116	18023.94004
117	18017.04552
118	18009.23451
119	18001.2993
120	17995.53386
121	17985.07773
122	17978.66834
123	17967.62026
124	17954.15015
125	17946.65724
126	17941.29308
127	17927.63515
128	17919.20824
129	17912.94432
130	17901.76348
131	17894.06078
132	17885.74723
133	17876.94264
134	17866.18542
135	17853.97555
136	17845.86883
137	17838.62351
138	17830.44218
139	17822.32111
140	17816.94831
141	17806.47301
142	17799.23828
143	17789.95663
144	17782.67142
145	17774.62855
146	17764.9586
147	17754.32965
148	17748.4897
149	17741.56258
150	17733.60264
151	17722.96158
152	17715.47993
153	17707.3985
154	17700.77885
155	17686.99348
156	17677.54871
157	17670.01821
158	17660.08639
159	17654.38149
160	17647.9848
161	17637.86895
162	17630.79871
163	17621.48011
164	17613.45108
165	17605.38955
166	17596.17771
167	17590.19698
168	17579.37429
169	17571.3244
170	17560.34391
171	17553.28756
172	17538.99498
173	17532.50181
174	17525.66298
175	17517.76132
176	17510.07925
177	17501.62955
178	17493.68746
179	17485.31592
180	17476.63573
181	17469.64742
182	17460.8223
183	17453.27907
184	17445.7955
185	17438.5177
186	17426.92232
187	17420.37327
188	17414.97422
189	17406.89002
190	17402.45425
191	17395.11563
192	17389.70314
193	17380.49725
194	17375.64969
195	17367.28563
196	17358.14935
197	17352.32122
198	17343.03489
199	17337.03842
200	17330.69654
201	17321.76004
202	17314.5935
203	17308.38334
204	17301.11192
205	17295.1993
206	17285.80124
207	17279.24514
208	17273.51896
209	17266.63908
210	17260.65117
211	17254.92942
212	17251.07011
213	17245.9884
214	17238.5026
215	17229.47422
216	17218.97601
217	17209.4065
218	17204.67423
219	17197.65515
220	17192.60123
221	17187.51687
222	17183.15459
223	17176.99138
224	17170.17966
225	17161.86412
226	17156.17071
227	17152.20514
228	17147.2445
229	17142.87384
230	17139.34549
231	17132.47507
232	17129.13549
233	17120.58655
234	17114.20977
235	17109.66629
236	17102.8288
237	17094.18407
238	17089.19513
239	17082.41153
240	17076.24783
241	17072.15983
242	17063.58379
243	17058.92571
244	17051.42698
245	17046.47152
246	17035.59601
247	17030.00728
248	17024.00063
249	17015.11555
250	17011.12731
251	17004.77451
252	16995.64127
253	16988.92678
254	16982.53078
255	16978.52755
256	16973.2045
257	16965.47319
258	16959.88009
259	16952.9281
260	16949.03478
261	16943.08048
262	16937.37809
263	16933.0743
264	16927.35846
265	16922.15263
266	16916.88874
267	16912.02738
268	16905.76935
269	16900.37773
270	16896.1867
271	16893.67793
272	16889.28786
273	16882.17211
274	16877.77111
275	16870.94943
276	16864.02142
277	16859.44611
278	16853.75513
279	16848.78839
280	16844.76335
281	16838.72902
282	16834.16941
283	16831.23394
284	16824.55941
285	16818.81446
286	16813.36273
287	16809.31521
288	16804.438
289	16800.11358
290	16796.07562
291	16792.87132
292	16789.57731
293	16786.57212
294	16779.73414
295	16775.1576
296	16769.43537
297	16764.24001
298	16755.4252
299	16748.35881
300	16739.78732
301	16734.24295
302	16730.97142
303	16726.18857
304	16718.66376
305	16712.46043
306	16707.71281
307	16703.50366
308	16698.28779
309	16693.45284
310	16689.35566
311	16685.30475
312	16679.99496
313	16673.94353
314	16667.28145
315	16663.52057
316	16659.68291
317	16655.38378
318	16652.60574
319	16647.60465
320	16640.8613
321	16637.07641
322	16631.09131
323	16629.12403
324	16622.03802
325	16618.66154
326	16614.83699
327	16609.03214
328	16604.36863
329	16601.69659
330	16593.97293
331	16589.70416
332	16584.96182
333	16580.19648
334	16575.8841
335	16572.38004
336	16565.98862
337	16561.50062
338	16556.19986
339	16550.57728
340	16545.48347
341	16541.23063
342	16536.80267
343	16533.22447
344	16529.72357
345	16525.86229
346	16520.74176
347	16514.73805
348	16509.5051
349	16503.91631
350	16497.64015
351	16492.65229
352	16486.68785
353	16482.94957
354	16479.89511
355	16473.81168
356	16470.70583
357	16465.82405
358	16462.46117
359	16459.66327
360	16454.12485
361	16451.06378
362	16446.49392
363	16444.19785
364	16441.20804
365	16437.4097
366	16432.73714
367	16428.69901
368	16424.39316
369	16422.38088
370	16413.94624
371	16407.55992
372	16403.77267
373	16398.34686
374	16394.41833
375	16389.99322
376	16386.70892
377	16382.21262
378	16375.78385
379	16371.6465
380	16367.80913
381	16365.02741
382	16360.95106
383	16357.38208
384	16351.0671
385	16347.58131
386	16342.55475
387	16339.13897
388	16334.00966
389	16329.08477
390	16329.01092
391	16323.8498
392	16321.40711
393	16319.01537
394	16318.97934
395	16315.41906
396	16313.09071
397	16308.31377
398	16304.46006
399	16300.06144
400	16294.5649
401	16292.27162
402	16288.08399
403	16284.31743
404	16280.48898
405	16276.89436
406	16273.68061
407	16269.12106
408	16264.56158
409	16258.56861
410	16253.15928
411	16250.02049
412	16246.63547
413	16243.73597
414	16239.1811
415	16235.07645
416	16232.11374
417	16228.50972
418	16223.2233
419	16219.483
420	16215.06606
421	16210.06533
422	16207.7397
423	16204.10922
424	16199.53389
425	16195.75316
426	16191.44662
427	16190.54084
428	16187.16993
429	16185.44416
430	16179.84365
431	16176.22482
432	16170.02301
433	16167.32436
434	16165.06476
435	16161.90587
436	16157.91515
437	16156.52777
438	16152.35495
439	16147.37845
440	16142.62749
441	16141.00238
442	16138.94099
443	16136.34522
444	16130.73236
445	16127.95923
446	16121.25095
447	16120.36204
448	16115.33141
449	16111.58058
450	16107.68064
451	16104.31486
452	16100.67035
453	16096.26034
454	16093.2561
455	16089.56415
456	16084.81112
457	16083.31571
458	16078.83231
459	16076.14203
460	16073.10343
461	16069.57938
462	16066.28678
463	16063.53615
464	16058.50187
465	16054.56921
466	16048.77569
467	16045.33989
468	16042.80067
469	16038.42255
470	16034.31397
471	16030.7894
472	16028.36804
473	16026.45346
474	16020.55432
475	16015.25475
476	16009.92274
477	16006.81386
478	16003.47579
479	16000.15261
480	15995.37819
481	15990.88441
482	15987.34755
483	15985.53551
484	15981.42077
485	15976.65786
486	15970.88009
487	15968.94931
488	15966.01471
489	15961.86718
490	15960.03348
491	15956.41477
492	15952.8541
493	15948.30233
494	15945.62454
495	15942.25115
496	15939.17412
497	15937.34746
498	15932.15862
499	15929.08071
500	15926.9102
501	15924.52868
502	15920.63961
503	15919.08173
504	15916.26936
505	15912.97002
506	15910.31576
507	15906.398
508	15902.76256
509	15898.94893
510	15896.89302
511	15894.02491
512	15890.31098
513	15885.24249
514	15881.31106
515	15877.9799
516	15874.92211
517	15871.73826
518	15868.57041
519	15865.14839
520	15864.10534
521	15859.89097
522	15857.13156
523	15854.42707
524	15849.81472
525	15846.05215
526	15842.59055
527	15837.61191
528	15832.27851
529	15829.09756
530	15826.0456
531	15823.88126
532	15821.96282
533	15819.16196
534	15814.28248
535	15810.13348
536	15805.51569
537	15803.93857
538	15801.74413
539	15798.17973
540	15794.56359
541	15793.84816
542	15791.63467
543	15789.06701
544	15786.26687
545	15782.27268
546	15779.94723
547	15777.19467
548	15773.5245
549	15769.81159
550	15766.60153
551	15763.08689
552	15759.54672
553	15756.28714
554	15752.2671
555	15750.26728
556	15747.23252
557	15743.71069
558	15741.05497
559	15736.73364
560	15733.97551
561	15731.42926
562	15727.91901
563	15726.82408
564	15723.05242
565	15719.374
566	15713.14139
567	15710.95701
568	15709.156
569	15705.78325
570	15703.66345
571	15700.77555
572	15698.59026
573	15694.34384
574	15690.19369
575	15686.92512
576	15684.04877
577	15678.9488
578	15676.05887
579	15673.2006
580	15670.1234
581	15667.3564
582	15663.2041
583	15660.4808
584	15658.75663
585	15652.84306
586	15649.84479
587	15645.68188
588	15640.87695
589	15638.61247
590	15635.82618
591	15633.01465
592	15632.9547
593	15629.50941
594	15626.27543
595	15622.86011
596	15619.5762
597	15616.43112
598	15613.70698
599	15611.3671
600	15608.23437
601	15605.94116
602	15602.38619
603	15599.28867
604	15596.18835
605	15594.40049
606	15591.58155
607	15587.10622
608	15585.13171
609	15581.87222
610	15578.5982
611	15575.79505
612	15573.12684
613	15569.13592
614	15566.5996
615	15563.83625
616	15560.7995
617	15556.94708
618	15555.02678
619	15553.65747
620	15550.8101
621	15547.52727
622	15544.71356
623	15542.4274
624	15541.33492
625	15537.4945
626	15535.94167
627	15533.99681
628	15531.33035
629	15528.2937
630	15526.7763
631	15521.43281
632	15518.67016
633	15515.02454
634	15511.69328
635	15509.2503
636	15506.60924
637	15503.53334
638	15500.78697
639	15497.98009
640	15496.54742
641	15492.55187
642	15489.59306
643	15487.64166
644	15485.25831
645	15482.29068
646	15479.65408
647	15476.85761
648	15473.22408
649	15468.78915
650	15466.93187
651	15464.86571
652	15462.62321
653	15460.1056
654	15457.81737
655	15455.37428
656	15451.5443
657	15448.34306
658	15444.58592
659	15444.45378
660	15440.89244
661	15439.1312
662	15435.99568
663	15434.15283
664	15431.03511
665	15426.74924
666	15425.05869
667	15422.39537
668	15419.5914
669	15416.61362
670	15413.36675
671	15411.05624
672	15406.43001
673	15404.21476
674	15400.77065
675	15398.17979
676	15395.43611
677	15392.64689
678	15389.73431
679	15387.00744
680	15384.21672
681	15382.59367
682	15380.49668
683	15376.22231
684	15374.38535
685	15371.84122
686	15368.87839
687	15365.58385
688	15363.2382
689	15360.79547
690	15356.92508
691	15354.01198
692	15351.55748
693	15347.19943
694	15343.82694
695	15340.71828
696	15339.32516
697	15335.88551
698	15332.43495
699	15328.422
700	15326.10534
701	15325.97382
702	15323.20623
703	15320.24177
704	15317.598
705	15314.75992
706	15310.64825
707	15306.76696
708	15303.58712
709	15301.038
710	15299.51309
711	15296.81389
712	15294.03126
713	15292.02462
714	15288.78061
715	15286.21928
716	15283.91836
717	15281.11874
718	15277.45198
719	15274.19709
720	15270.71985
721	15268.03093
722	15263.45186
723	15261.53768
724	15258.97137
725	15255.13962
726	15253.09644
727	15249.33512
728	15247.1059
729	15244.06049
730	15240.7439
731	15237.78239
732	15236.23796
733	15233.04851
734	15230.87318
735	15227.69304
736	15224.30742
737	15222.0699
738	15219.57914
739	15217.3943
740	15215.77685
741	15213.59474
742	15209.46316
743	15206.84588
744	15203.89559
745	15202.30789
746	15198.91154
747	15196.41069
748	15192.33314
749	15189.67135
750	15188.14531
751	15185.8139
752	15184.37043
753	15182.26938
754	15177.77994
755	15175.90269
756	15172.25688
757	15169.44255
758	15165.82367
759	15162.15881
760	15159.17698
761	15156.94186
762	15155.14627
763	15152.40112
764	15146.85737
765	15145.66355
766	15142.82246
767	15141.1872
768	15138.7621
769	15136.01426
770	15133.5894
771	15132.01453
772	15129.35831
773	15127.17343
774	15124.13621
775	15121.03233
776	15118.49787
777	15114.95479
778	15112.18494
779	15109.3258
780	15106.01053
781	15103.11304
782	15101.26381
783	15098.45132
784	15096.35769
785	15093.12482
786	15091.23216
787	15089.02287
788	15086.24062
789	15084.17599
790	15082.47985
791	15079.59447
792	15075.81158
793	15072.97209
794	15069.89476
795	15067.70137
796	15065.38496
797	15063.4653
798	15061.03946
799	15059.0181
800	15056.61741
801	15053.94152
802	15051.34919
803	15047.87883
804	15045.92763
805	15043.56345
806	15041.46003
807	15039.49896
808	15036.91393
809	15034.72961
810	15032.59235
811	15030.42324
812	15028.28057
813	15025.9426
814	15022.16451
815	15018.57112
816	15015.94722
817	15012.68177
818	15009.88462
819	15008.16402
820	15006.80206
821	15003.90616
822	15002.13423
823	15000.18728
824	14998.87547
825	14995.56816
826	14994.9276
827	14990.72249
828	14988.13789
829	14985.29363
830	14982.18931
831	14980.38069
832	14977.6388
833	14975.00209
834	14974.23752
835	14971.63562
836	14968.9293
837	14967.86021
838	14964.78869
839	14962.39141
840	14960.26065
841	14956.8541
842	14953.5802
843	14949.40725
844	14947.90066
845	14944.97879
846	14943.15598
847	14939.6876
848	14937.79685
849	14935.8403
850	14932.18956
851	14928.53055
852	14926.73114
853	14924.12103
854	14921.16018
855	14918.56008
856	14916.59999
857	14915.29298
858	14912.60203
859	14911.13319
860	14908.95155
861	14907.19302
862	14905.67359
863	14903.90986
864	14901.85724
865	14900.53483
866	14897.90419
867	14895.86935
868	14893.27864
869	14890.92659
870	14889.31767
871	14886.68258
872	14885.08038
873	14882.59318
874	14880.29309
875	14877.63056
876	14875.68841
877	14873.10102
878	14869.8188
879	14866.11649
880	14863.80156
881	14861.7124
