iter	Passed	Remaining
0	755	754850
1	1439	718212
2	2116	703527
3	2690	669896
4	3258	648425
5	3831	634768
6	4576	649272
7	5279	654649
8	5972	657597
9	6523	645777
10	7111	639383
11	7751	638175
12	8438	640694
13	9002	634055
14	9665	634684
15	10332	635443
16	10903	630468
17	11593	632466
18	12124	626022
19	12881	631214
20	13572	632718
21	14275	634601
22	14982	636411
23	15495	630165
24	16211	632266
25	16762	627960
26	17332	624602
27	17895	621233
28	18500	619451
29	19235	621946
30	20017	625709
31	20819	629778
32	21482	629513
33	22014	625483
34	22651	624524
35	23312	624247
36	24045	625844
37	24667	624469
38	25376	625294
39	25987	623690
40	26630	622903
41	27263	621873
42	27920	621390
43	28540	620098
44	29095	617474
45	29813	618298
46	30505	618553
47	31174	618301
48	31727	615767
49	32484	617209
50	33140	616672
51	34009	620025
52	34757	621038
53	35460	621214
54	36042	619267
55	36686	618422
56	37315	617337
57	37837	614532
58	38508	614185
59	39156	613447
60	39735	611666
61	40396	611155
62	41021	610113
63	41687	609683
64	42220	607327
65	42890	606963
66	43403	604414
67	44008	603169
68	44714	603318
69	45392	603073
70	45930	600980
71	46557	600070
72	47220	599634
73	47861	598913
74	48435	597366
75	48967	595338
76	49477	593086
77	50109	592317
78	50729	591411
79	51304	590003
80	52053	590583
81	52726	590274
82	53500	591085
83	54189	590927
84	54964	591678
85	55601	590930
86	56230	590099
87	56799	588651
88	57510	588675
89	58181	588275
90	58786	587215
91	59334	585605
92	59960	584776
93	60672	584778
94	61325	584206
95	61883	582734
96	62552	582314
97	63266	582312
98	63948	581993
99	64727	582550
100	65330	581507
101	65946	580589
102	66515	579266
103	67211	579052
104	67782	577761
105	68476	577525
106	69002	575884
107	69608	574917
108	70312	574757
109	70913	573754
110	71702	574269
111	72226	572651
112	72743	571005
113	73351	570086
114	73890	568632
115	74443	567310
116	75137	567061
117	75720	565979
118	76337	565152
119	76934	564185
120	77554	563389
121	78137	562332
122	78658	560843
123	79303	560243
124	80037	560259
125	80637	559343
126	81137	557740
127	81746	556896
128	82319	555817
129	82880	554658
130	83590	554505
131	84329	554533
132	85144	555040
133	85876	554989
134	86562	554641
135	87097	553324
136	87787	553000
137	88443	552452
138	88958	551028
139	89583	550295
140	90193	549478
141	90985	549760
142	91537	548582
143	92205	548111
144	92773	547044
145	93472	546752
146	94084	545944
147	94820	545861
148	95420	544985
149	96043	544243
150	96705	543726
151	97281	542726
152	97915	542055
153	98537	541319
154	99159	540578
155	99884	540399
156	100551	539906
157	101201	539315
